Order_ID,Order_Date,Customer_Name,Region,State,Category,Product,Quantity,Sales,Profit,Payment_Mode,,
ORD00001,2025-05-08,Neha Kadam,East,Tamil Nadu,Electronics,Mobile,10,46830,11353,Net Banking,,
ORD00002,2024-04-05,Ananya Patil,East,Karnataka,Furniture,Desk,4,45704,7410,Debit Card,,
ORD00003,2024-02-02,Vivaan Pawar,West,Delhi,Office Supplies,Marker,6,22690,3471,Credit Card,,
ORD00004,2024-10-13,Ritika Ansari,East,Delhi,Clothing,Shirt,7,47904,2708,UPI,,77382654
ORD00005,2024-11-09,Aditi Kadam,North,Gujarat,Electronics,Laptop,4,1430,199,Net Banking,,
ORD00006,2024-06-06,Rohan Nair,North,Maharashtra,Furniture,Cabinet,1,8379,2001,UPI,,11518598
ORD00007,2024-02-24,Shreya Jadhav,North,Tamil Nadu,Electronics,Mobile,8,14323,1303,Debit Card,,
ORD00008,2024-09-07,Meera Ghosh,East,Karnataka,Office Supplies,Printer Paper,9,33104,3067,Debit Card,,
ORD00009,2024-09-21,Siddharth Mishra,East,Delhi,Furniture,Chair,9,47026,6599,Cash,,
ORD00010,2024-07-11,Neha Khan,South,Tamil Nadu,Office Supplies,Pen,7,4532,797,UPI,,
ORD00011,2025-12-31,Ritika Patel,West,Rajasthan,Clothing,Shirt,2,5839,733,UPI,,
ORD00012,2025-08-17,Ishita More,West,Tamil Nadu,Furniture,Chair,5,49762,11529,Net Banking,,
ORD00013,2024-05-05,Nikhil Joshi,North,Tamil Nadu,Clothing,T-Shirt,7,11472,2700,Cash,,
ORD00014,2024-09-16,Shreya Sharma,North,Tamil Nadu,Furniture,Sofa,4,26604,2759,Net Banking,,
ORD00015,2024-12-16,Abhishek Iyer,South,Gujarat,Office Supplies,Notebook,5,8080,1511,Cash,,
ORD00016,2024-08-05,Abhishek Roy,East,Rajasthan,Furniture,Chair,3,11876,2397,Net Banking,,
ORD00017,2024-04-08,Karan Menon,North,Rajasthan,Office Supplies,Pen,9,42327,9505,Debit Card,,
ORD00018,2025-11-06,Aditi Das,South,Maharashtra,Clothing,Jacket,1,16746,3360,Credit Card,,
ORD00019,2024-04-09,Akash Deshmukh,South,Delhi,Office Supplies,Marker,4,48847,9858,Net Banking,,
ORD00020,2024-05-31,Arjun Shaikh,South,Rajasthan,Clothing,Shirt,4,29589,5962,UPI,,
ORD00021,2024-05-22,Vikas Verma,North,Rajasthan,Electronics,Headphones,3,17563,3783,Net Banking,,
ORD00022,2025-03-17,Kavya Verma,East,Delhi,Furniture,Sofa,5,17706,3420,Debit Card,,
ORD00023,2024-02-25,Aryan Shaikh,North,Tamil Nadu,Clothing,T-Shirt,6,44490,9542,Cash,,
ORD00024,2025-12-02,Siddharth Khan,North,Rajasthan,Clothing,T-Shirt,7,27678,3537,Debit Card,,
ORD00025,2025-07-19,Shreya Joshi,East,Maharashtra,Furniture,Cabinet,7,30537,6170,Credit Card,,
ORD00026,2025-11-09,Sai Jadhav,East,Karnataka,Clothing,Shoes,5,22643,1627,Debit Card,,
ORD00027,2025-11-07,Aryan Yadav,South,Delhi,Electronics,Headphones,1,14577,1309,Cash,,
ORD00028,2025-08-05,Nikhil Kulkarni,West,Tamil Nadu,Clothing,Shoes,9,9681,1320,Cash,,
